pick_up_zone,drop_off_zone,weight
87.0,4.0,1063
87.0,12.0,211
87.0,13.0,3382
87.0,24.0,85
87.0,41.0,113
87.0,42.0,134
87.0,43.0,604
87.0,45.0,1585
87.0,48.0,2137
87.0,50.0,886
87.0,68.0,2706
87.0,74.0,154
87.0,75.0,408
87.0,79.0,4967
87.0,87.0,2294
87.0,88.0,1097
87.0,90.0,1483
87.0,100.0,1803
87.0,107.0,3101
87.0,113.0,2075
87.0,114.0,2065
87.0,116.0,80
87.0,120.0,9
87.0,125.0,1388
87.0,127.0,66
87.0,128.0,9
87.0,137.0,2036
87.0,140.0,1343
87.0,141.0,1444
87.0,142.0,981
87.0,143.0,377
87.0,144.0,3406
87.0,148.0,3058
87.0,151.0,187
87.0,152.0,33
87.0,158.0,2471
87.0,161.0,4995
87.0,162.0,3588
87.0,163.0,1420
87.0,164.0,2660
87.0,166.0,154
87.0,170.0,4033
87.0,186.0,1578
87.0,209.0,709
87.0,211.0,2728
87.0,224.0,789
87.0,229.0,1684
87.0,230.0,2229
87.0,231.0,7806
87.0,232.0,1326
87.0,233.0,2634
87.0,234.0,3412
87.0,236.0,935
87.0,237.0,1619
87.0,238.0,455
87.0,239.0,646
87.0,243.0,108
87.0,244.0,87
87.0,246.0,2242
87.0,249.0,2921
87.0,261.0,2178
87.0,262.0,780
87.0,263.0,853
88.0,4.0,585
88.0,12.0,41
88.0,13.0,1398
88.0,24.0,36
88.0,41.0,57
88.0,42.0,56
88.0,43.0,269
88.0,45.0,731
88.0,48.0,921
88.0,50.0,273
88.0,68.0,1054
88.0,74.0,78
88.0,75.0,197
88.0,79.0,1468
88.0,87.0,1268
88.0,88.0,706
88.0,90.0,419
88.0,100.0,663
88.0,107.0,975
88.0,113.0,552
88.0,114.0,557
88.0,116.0,29
88.0,120.0,7
88.0,125.0,286
88.0,127.0,16
88.0,128.0,4
88.0,137.0,894
88.0,140.0,653
88.0,141.0,693
88.0,142.0,361
88.0,143.0,163
88.0,144.0,892
88.0,148.0,840
88.0,151.0,92
88.0,152.0,11
88.0,158.0,599
88.0,161.0,1599
88.0,162.0,1124
88.0,163.0,436
88.0,164.0,949
88.0,166.0,48
88.0,170.0,1765
88.0,186.0,474
88.0,209.0,554
88.0,211.0,614
88.0,224.0,377
88.0,229.0,743
88.0,230.0,845
88.0,231.0,2188
88.0,232.0,677
88.0,233.0,1140
88.0,234.0,915
88.0,236.0,441
88.0,237.0,599
88.0,238.0,199
88.0,239.0,304
88.0,243.0,46
88.0,244.0,54
88.0,246.0,738
88.0,249.0,665
88.0,261.0,1093
88.0,262.0,418
88.0,263.0,349
90.0,4.0,2288
90.0,12.0,56
90.0,13.0,3265
90.0,24.0,472
90.0,41.0,804
90.0,42.0,681
90.0,43.0,2215
90.0,45.0,614
90.0,48.0,14637
90.0,50.0,4625
90.0,68.0,18435
90.0,74.0,659
90.0,75.0,1102
90.0,79.0,11721
90.0,87.0,2279
90.0,88.0,556
90.0,90.0,9695
90.0,100.0,8486
90.0,107.0,13286
90.0,113.0,8792
