pick_up_zone,drop_off_zone,weight
68.0,88.0,987
68.0,90.0,8408
68.0,100.0,7674
68.0,107.0,9353
68.0,113.0,6782
68.0,114.0,5575
68.0,116.0,640
68.0,120.0,68
68.0,125.0,3583
68.0,127.0,318
68.0,128.0,51
68.0,137.0,3907
68.0,140.0,2301
68.0,141.0,4218
68.0,142.0,7496
68.0,143.0,2992
68.0,144.0,4966
68.0,148.0,3571
68.0,151.0,1596
68.0,152.0,338
68.0,158.0,7557
68.0,161.0,15398
68.0,162.0,6221
68.0,163.0,7377
68.0,164.0,9618
68.0,166.0,1528
68.0,170.0,10514
68.0,186.0,4531
68.0,209.0,567
68.0,211.0,4981
68.0,224.0,1668
68.0,229.0,3161
68.0,230.0,12135
68.0,231.0,8706
68.0,232.0,1229
68.0,233.0,3644
68.0,234.0,14649
68.0,236.0,4119
68.0,237.0,5463
68.0,238.0,3266
68.0,239.0,4853
68.0,243.0,617
68.0,244.0,923
68.0,246.0,13631
68.0,249.0,13605
68.0,261.0,2372
68.0,262.0,1824
68.0,263.0,2634
74.0,4.0,144
74.0,12.0,5
74.0,13.0,31
74.0,24.0,417
74.0,41.0,2214
74.0,42.0,1370
74.0,43.0,879
74.0,45.0,43
74.0,48.0,562
74.0,50.0,182
74.0,68.0,337
74.0,74.0,6800
74.0,75.0,4980
74.0,79.0,318
74.0,87.0,68
74.0,88.0,76
74.0,90.0,148
74.0,100.0,322
74.0,107.0,328
74.0,113.0,122
74.0,114.0,130
74.0,116.0,405
74.0,120.0,54
74.0,125.0,35
74.0,127.0,128
74.0,128.0,9
74.0,137.0,341
74.0,140.0,883
74.0,141.0,1290
74.0,142.0,699
74.0,143.0,198
74.0,144.0,96
74.0,148.0,149
74.0,151.0,814
74.0,152.0,413
74.0,158.0,78
74.0,161.0,628
74.0,162.0,435
74.0,163.0,335
74.0,164.0,366
74.0,166.0,1389
74.0,170.0,375
74.0,186.0,262
74.0,209.0,29
74.0,211.0,70
74.0,224.0,113
74.0,229.0,421
74.0,230.0,381
74.0,231.0,134
74.0,232.0,155
74.0,233.0,246
74.0,234.0,312
74.0,236.0,2383
74.0,237.0,1014
74.0,238.0,1112
74.0,239.0,910
74.0,243.0,164
74.0,244.0,403
74.0,246.0,182
74.0,249.0,169
74.0,261.0,34
74.0,262.0,1037
74.0,263.0,2577
75.0,4.0,314
75.0,12.0,21
75.0,13.0,254
75.0,24.0,844
75.0,41.0,2260
75.0,42.0,1442
75.0,43.0,3115
75.0,45.0,104
75.0,48.0,1846
75.0,50.0,562
75.0,68.0,1245
75.0,74.0,6576
75.0,75.0,8470
75.0,79.0,936
75.0,87.0,355
75.0,88.0,268
75.0,90.0,504
75.0,100.0,1456
75.0,107.0,1115
75.0,113.0,412
75.0,114.0,384
75.0,116.0,396
75.0,120.0,58
75.0,125.0,242
