pick_up_zone,drop_off_zone,weight
79.0,120.0,53
79.0,125.0,3807
79.0,127.0,218
79.0,128.0,22
79.0,137.0,10250
79.0,140.0,3481
79.0,141.0,6424
79.0,142.0,3743
79.0,143.0,1448
79.0,144.0,9252
79.0,148.0,12305
79.0,151.0,1300
79.0,152.0,313
79.0,158.0,6892
79.0,161.0,9414
79.0,162.0,8007
79.0,163.0,3541
79.0,164.0,10491
79.0,166.0,1008
79.0,170.0,14713
79.0,186.0,8769
79.0,209.0,1858
79.0,211.0,6899
79.0,224.0,3434
79.0,229.0,6451
79.0,230.0,5782
79.0,231.0,9711
79.0,232.0,5183
79.0,233.0,7534
79.0,234.0,15419
79.0,236.0,3647
79.0,237.0,4095
79.0,238.0,2309
79.0,239.0,3156
79.0,243.0,398
79.0,244.0,691
79.0,246.0,5469
79.0,249.0,15533
79.0,261.0,2569
79.0,262.0,3103
79.0,263.0,4194
87.0,4.0,975
87.0,12.0,209
87.0,13.0,2640
87.0,24.0,68
87.0,41.0,124
87.0,42.0,117
87.0,43.0,587
87.0,45.0,1523
87.0,48.0,2089
87.0,50.0,795
87.0,68.0,2623
87.0,74.0,156
87.0,75.0,352
87.0,79.0,4385
87.0,87.0,2341
87.0,88.0,1092
87.0,90.0,1363
87.0,100.0,1784
87.0,107.0,2502
87.0,113.0,1518
87.0,114.0,1798
87.0,116.0,80
87.0,120.0,6
87.0,125.0,1198
87.0,127.0,44
87.0,128.0,8
87.0,137.0,1741
87.0,140.0,1226
87.0,141.0,1343
87.0,142.0,803
87.0,143.0,377
87.0,144.0,3055
87.0,148.0,2459
87.0,151.0,206
87.0,152.0,31
87.0,158.0,2159
87.0,161.0,4512
87.0,162.0,3357
87.0,163.0,1281
87.0,164.0,2652
87.0,166.0,130
87.0,170.0,3610
87.0,186.0,1362
87.0,209.0,590
87.0,211.0,2449
87.0,224.0,799
87.0,229.0,1662
87.0,230.0,2255
87.0,231.0,6191
87.0,232.0,1204
87.0,233.0,2628
87.0,234.0,3023
87.0,236.0,827
87.0,237.0,1430
87.0,238.0,332
87.0,239.0,581
